date,jour_semaine,mois,jour_mois,semaine_annee,est_weekend,citernes_disponibles,nb_dessertes,temperature,temps_chargement_moyen,taux_remplissage,tonnage,cout_unitaire_mad,cout_total_mad,co2_kg,anomalie
2025-01-01,2,1,1,1,0,66,11,12.8,46.9,0.869,3021.2,19.04,57523.65,2326.3,0
2025-01-02,3,1,2,1,0,65,12,14.0,41.8,0.872,3749.8,17.16,64346.57,2887.3,0
2025-01-03,4,1,3,1,0,71,8,17.0,35.9,0.867,3017.1,17.51,52829.42,2323.2,0
2025-01-04,5,1,4,1,1,73,13,14.3,48.6,0.912,3590.2,18.58,66705.92,2764.5,0
2025-01-05,6,1,5,1,1,62,14,14.5,50.7,0.862,2072.3,19.8,41031.54,1595.7,0
2025-01-06,0,1,6,2,0,66,11,14.8,45.0,0.959,4102.3,17.65,72405.6,3158.8,0
2025-01-07,1,1,7,2,0,61,13,21.6,52.2,0.872,3793.4,18.62,70633.11,2920.9,0
2025-01-08,2,1,8,2,0,67,13,14.2,35.5,0.883,4327.2,19.24,83255.33,3331.9,0
2025-01-09,3,1,9,2,0,71,11,14.1,45.8,0.946,4543.2,18.93,86002.78,3498.3,0
2025-01-10,4,1,10,2,0,67,14,17.7,50.3,0.937,5106.4,18.28,93344.99,3931.9,0
2025-01-11,5,1,11,2,1,66,8,13.7,51.6,0.858,1113.2,17.66,19659.11,857.2,0
2025-01-12,6,1,12,2,1,62,11,18.6,46.8,0.907,1818.8,18.05,32829.34,1400.5,0
2025-01-13,0,1,13,3,0,60,12,20.0,47.0,0.909,3899.9,19.08,74410.09,3002.9,0
2025-01-14,1,1,14,3,0,69,11,14.4,51.3,0.911,3969.5,18.75,74428.12,3056.5,0
2025-01-15,2,1,15,3,0,72,14,15.8,49.5,0.859,4680.8,18.15,84956.52,3604.2,0
2025-01-16,3,1,16,3,0,61,9,18.6,51.9,0.955,2778.3,18.86,52398.74,2139.3,0
2025-01-17,4,1,17,3,0,73,13,20.5,46.1,0.958,7153.7,18.27,130698.1,5508.3,0
2025-01-18,5,1,18,3,1,68,10,20.4,43.2,0.953,2640.3,18.34,48423.1,2033.0,0
2025-01-19,6,1,19,3,1,68,13,17.3,43.3,0.891,2715.4,18.78,50995.21,2090.9,0
2025-01-20,0,1,20,4,0,75,15,16.3,53.4,0.967,7870.2,18.48,145441.3,6060.1,0
